,College (By Initial Value)
0,Yale University
1,Tufts University
2,Colgate University
3,Sarah Lawrence College
4,George Washington University
5,Webb Institute
6,Emory University
7,Emory University-Oxford College
8,Rhode Island School of Design
9,University of Denver
10,Pratt Institute-Main
11,Pacific University
12,Cooper Union for the Advancement of Science and Art
13,Earlham College
14,Simmons University
15,Marymount Manhattan College
16,Wabash College
17,Duquesne University
18,Wartburg College
19,University of Bridgeport
20,Saint Martin's University
21,University of Saint Joseph
22,Messiah University
23,Marietta College
24,William Jewell College
25,San Diego Christian College
26,St. Thomas Aquinas College
27,Niagara University
28,The University of Findlay
29,Lake Erie College
30,Georgian Court University
31,Concordia University Ann Arbor
32,Gardner-Webb University
33,Ottawa University-Surprise
34,LeTourneau University
35,Pacific Union College
36,University of Mount Union
37,McKendree University
38,Aquinas College
39,Lyon College
40,Greenville University
41,Reinhardt University
42,Keystone College
43,Spalding University
44,Eureka College
45,Huntingdon College
46,University of California-Santa Barbara
47,Lincoln Memorial University
48,Wesleyan College
49,Trevecca Nazarene University
50,Shorter University
51,Waldorf University
52,Thomas More College of Liberal Arts
53,Blackburn College
54,Auburn University
55,Husson University
56,Bethune-Cookman University
57,Southern Virginia University
58,University of Oklahoma-Norman Campus
59,Mercy College
60,Ramapo College of New Jersey
61,Longwood University
62,Columbia College
63,Indiana University of Pennsylvania-Main Campus
64,University of Maryland-College Park
65,University of Arizona
66,University of Missouri-Columbia
67,SUNY Maritime College
68,University of Wisconsin-Madison
69,Norfolk State University
70,Kent State University at Kent
71,Alice Lloyd College
72,Prairie View A & M University
73,Bowling Green State University-Main Campus
74,Western Washington University
75,University of Memphis
76,Oakland University
77,Florida Agricultural and Mechanical University
78,Lake Superior State University
79,Morgan State University
80,Maine College of Health Professions
81,Southern Arkansas University Main Campus
82,Arkansas State University
83,Sam Houston State University
84,West Virginia University
85,Mercy College of Ohio
86,Montana State University
87,University of South Alabama
88,University of Michigan-Flint
89,University of Northern Iowa
90,The University of Texas at Tyler
91,Winston-Salem State University
92,Northwest Missouri State University
93,McNeese State University
94,Georgia Southwestern State University
95,University of Wisconsin-Whitewater
96,Northwestern Oklahoma State University
97,University of Wisconsin-La Crosse
98,Kentucky Mountain Bible College
99,Summit Christian College
